,CHANNEL,FIRST_FLAG,PURPOSE,PROP,OCC_STAT,STATE,MSA,HOMEREADY_PROGRAM_INDICATOR,RELOCATION_MORTGAGE_INDICATOR,PROPERTY_INSPECTION_WAIVER_INDICATOR,HIGH_BALANCE_LOAN_INDICATOR,MI,TERM,CSCORE_B,DTI,OLTV,ORIG_RATE,ORIG_UPB,NUM_BO,NO_UNITS,DTI_LTV,DTI_UPB
8229,B,0,P,SF,P,CO,17820,0,0,A,0,1,30y,792.0,43.0,90,3.875,311000.0,1,1,0.4777777777777778,0.00013826366559485531
67840,R,0,P,CO,P,OH,18140,0,0,A,0,0,30y,809.0,22.0,67,3.5,210000.0,2,1,0.3283582089552239,0.00010476190476190476
78357,R,0,C,SF,P,GA,12060,0,0,A,0,0,other,784.0,16.0,56,3.5,182000.0,2,1,0.2857142857142857,8.791208791208791e-05
27174,R,0,C,PU,P,CO,19740,0,0,A,0,0,other,781.0,22.0,53,3.999,321000.0,2,1,0.41509433962264153,6.853582554517133e-05
87006,R,0,P,SF,P,CO,39380,0,0,A,0,1,30y,784.0,14.0,95,3.625,161000.0,1,1,0.14736842105263157,8.695652173913044e-05
55513,R,0,R,PU,P,MI,19820,0,0,W,0,0,15y,796.0,34.0,53,3.125,265000.0,2,1,0.6415094339622641,0.00012830188679245283
71633,C,1,P,SF,P,VA,47260,0,0,A,0,1,30y,782.0,44.0,97,3.875,242000.0,1,1,0.4536082474226804,0.0001818181818181818
67381,C,0,R,CO,P,VA,47900,0,0,W,0,0,30y,789.0,23.0,65,3.625,160000.0,1,1,0.35384615384615387,0.00014375
35398,C,0,P,CO,S,VA,40060,0,0,A,0,0,30y,800.0,32.0,80,4.0,137000.0,2,1,0.4,0.00023357664233576643
31942,R,0,P,SF,I,MI,19820,0,0,A,0,0,30y,758.0,34.0,80,4.75,68000.0,1,1,0.425,0.0005
34589,C,0,P,SF,P,MI,19820,0,0,A,0,1,30y,788.0,45.0,95,4.125,133000.0,1,1,0.47368421052631576,0.0003383458646616541
33133,C,0,P,CO,P,CO,19740,0,0,A,0,1,30y,790.0,50.0,95,3.625,350000.0,1,1,0.5263157894736842,0.00014285714285714287
85360,B,0,R,PU,P,CO,19740,0,0,W,0,0,30y,762.0,23.0,55,3.5,320000.0,2,1,0.41818181818181815,7.1875e-05
74501,R,1,P,SF,P,MI,19820,0,0,A,0,1,30y,804.0,33.0,95,3.875,239000.0,2,1,0.3473684210526316,0.00013807531380753137
49622,R,0,R,SF,P,MI,19820,0,0,W,0,0,other,805.0,32.0,59,3.75,216000.0,2,1,0.5423728813559322,0.00014814814814814815
28053,C,0,P,SF,I,OH,18140,0,0,A,0,0,30y,772.0,41.0,80,4.99,155000.0,2,1,0.5125,0.0002645161290322581
71727,B,0,R,PU,I,CO,19740,0,0,A,0,0,30y,757.0,38.0,74,3.99,314000.0,1,1,0.5135135135135135,0.00012101910828025477
52482,R,0,R,SF,P,MI,19820,0,0,A,0,0,15y,703.0,47.0,45,3.5,167000.0,2,1,1.0444444444444445,0.00028143712574850297
100164,C,1,P,CO,P,VA,47900,0,0,A,0,0,15y,767.0,22.0,80,2.99,376000.0,1,1,0.275,5.851063829787234e-05
74747,R,0,R,SF,P,CO,19740,0,0,A,0,0,30y,786.0,39.0,74,3.625,458000.0,1,1,0.527027027027027,8.51528384279476e-05
30080,C,0,R,CO,P,MI,19820,0,0,A,0,1,30y,731.0,46.0,82,4.375,275000.0,2,1,0.5609756097560976,0.00016727272727272728
21437,R,0,R,SF,P,MI,19820,0,0,W,0,0,30y,647.0,38.0,72,4.75,198000.0,1,1,0.5277777777777778,0.00019191919191919191
61599,R,0,C,SF,P,GA,12060,0,0,A,0,0,30y,737.0,44.0,77,3.5,400000.0,2,1,0.5714285714285714,0.00011
61700,C,0,P,PU,P,CO,0,0,0,W,0,0,30y,741.0,44.0,80,3.99,468000.0,1,1,0.55,9.401709401709401e-05
43268,R,1,P,CO,P,MI,24340,0,0,A,0,1,30y,771.0,26.0,95,5.375,305000.0,2,1,0.2736842105263158,8.524590163934426e-05
73931,C,0,C,SF,P,CO,19740,0,0,A,0,0,30y,710.0,45.0,57,3.875,419000.0,1,1,0.7894736842105263,0.00010739856801909308
30259,B,1,P,CO,P,VA,47260,0,0,W,0,0,30y,765.0,39.0,75,3.75,119000.0,2,1,0.52,0.0003277310924369748
79761,R,0,R,PU,P,GA,12060,0,0,W,0,1,30y,764.0,48.0,85,3.99,304000.0,2,1,0.5647058823529412,0.00015789473684210527
83241,R,0,P,CO,S,CO,19740,0,0,A,0,0,30y,808.0,37.0,80,3.875,248000.0,1,1,0.4625,0.00014919354838709677
62174,R,0,C,SF,P,OH,17140,0,0,A,0,0,15y,822.0,22.0,69,3.25,239000.0,1,1,0.3188405797101449,9.205020920502092e-05
90701,R,0,C,CO,P,MI,22420,0,0,A,0,0,30y,753.0,27.0,75,4.125,338000.0,1,1,0.36,7.988165680473373e-05
33372,C,0,C,SF,P,CO,19740,0,0,W,0,0,30y,718.0,30.0,70,4.5,294000.0,1,1,0.42857142857142855,0.00010204081632653062
95086,R,1,P,CO,P,OH,19430,0,0,A,0,1,15y,809.0,16.0,97,3.25,141000.0,1,1,0.16494845360824742,0.00011347517730496454
35825,B,0,R,PU,P,CO,19740,0,0,A,1,1,30y,793.0,44.0,86,3.625,522000.0,1,1,0.5116279069767442,8.42911877394636e-05
84621,R,0,C,SF,P,CO,14500,0,0,A,0,0,30y,799.0,17.0,55,3.625,400000.0,2,1,0.3090909090909091,4.25e-05
