LOAN_ID,ACT_PERIOD,CHANNEL,ORIG_RATE,ORIG_UPB,ORIG_DATE,FIRST_PAY,OLTV,NUM_BO,DTI,CSCORE_B,FIRST_FLAG,PURPOSE,PROP,NO_UNITS,OCC_STAT,STATE,MSA,HOMEREADY_PROGRAM_INDICATOR,RELOCATION_MORTGAGE_INDICATOR,PROPERTY_INSPECTION_WAIVER_INDICATOR,HIGH_BALANCE_LOAN_INDICATOR,PREPAID_FLAG,DEFAULT_FLAG,MI,TERM,DTI_LTV,DTI_UPB
98836742,2020-01-01,C,3.375,308000.0,2019-08-01,2019-10-01,75,1,38.0,796.0,1,P,SF,1,P,MI,19820,0,0,W,0,1,0,0,15y,0.5066666666666667,0.00012337662337662337
98836743,2020-01-01,R,3.625,207000.0,2019-12-01,2020-02-01,66,2,25.0,806.0,0,R,SF,1,P,OH,17140,0,0,A,0,1,0,0,other,0.3787878787878788,0.00012077294685990338
98836744,2020-01-01,R,3.625,215000.0,2020-01-01,2020-03-01,73,2,42.0,745.0,0,R,SF,1,P,OH,18140,0,0,A,0,1,0,0,other,0.5753424657534246,0.00019534883720930232
98836781,2020-01-01,R,3.75,286000.0,2020-01-01,2020-03-01,79,2,39.0,789.0,0,R,SF,1,P,CO,17820,0,0,W,0,0,0,0,30y,0.4936708860759494,0.00013636363636363637
98836789,2020-01-01,R,3.99,222000.0,2019-12-01,2020-02-01,78,2,43.0,681.0,0,R,SF,1,P,MI,19820,1,0,W,0,0,0,0,30y,0.5512820512820513,0.0001936936936936937
98836796,2020-01-01,B,3.999,243000.0,2020-01-01,2020-03-01,79,1,43.0,769.0,0,C,SF,1,P,CO,19740,0,0,A,0,0,0,0,30y,0.5443037974683544,0.00017695473251028808
98836799,2020-01-01,C,3.875,250000.0,2019-12-01,2020-02-01,74,1,37.0,768.0,0,P,SF,1,P,MI,24340,0,0,A,0,1,0,0,30y,0.5,0.000148
98836805,2020-01-01,R,3.25,210000.0,2020-01-01,2020-03-01,63,2,31.0,755.0,0,C,SF,1,P,OH,18140,0,0,A,0,0,1,0,other,0.49206349206349204,0.00014761904761904763
98836817,2020-01-01,R,3.375,418000.0,2019-11-01,2020-01-01,95,2,38.0,796.0,0,P,SF,1,P,MI,19820,0,0,A,0,1,0,1,30y,0.4,9.09090909090909e-05
98836823,2020-01-01,R,3.99,359000.0,2019-12-01,2020-02-01,97,1,37.0,772.0,1,P,CO,1,P,MI,19820,0,0,A,0,0,0,1,30y,0.38144329896907214,0.00010306406685236769
98836828,2020-01-01,R,4.625,226000.0,2020-01-01,2020-03-01,84,1,43.0,676.0,0,R,CO,1,P,MI,28020,0,0,A,0,0,0,1,30y,0.5119047619047619,0.00019026548672566372
98836833,2020-01-01,C,4.0,255000.0,2020-01-01,2020-03-01,85,1,30.0,703.0,0,P,SF,1,P,MI,19820,0,0,A,0,0,0,1,30y,0.35294117647058826,0.00011764705882352942
