LOAN_ID,ACT_PERIOD,CHANNEL,ORIG_RATE,ORIG_UPB,ORIG_TERM,ORIG_DATE,FIRST_PAY,OLTV,OCLTV,NUM_BO,DTI,CSCORE_B,CSCORE_C,FIRST_FLAG,PURPOSE,PROP,NO_UNITS,OCC_STAT,STATE,MSA,MI_PCT,MI_TYPE,HOMEREADY_PROGRAM_INDICATOR,RELOCATION_MORTGAGE_INDICATOR,PROPERTY_INSPECTION_WAIVER_INDICATOR,HIGH_BALANCE_LOAN_INDICATOR,PREPAID_FLAG,DEFAULT_FLAG
98836742,2020-01-01,C,3.375,308000.0,180,2019-08-01,2019-10-01,75,75,1,38.0,796.0,0.0,Y,P,SF,1,P,MI,19820,0.0,0.0,N,N,W,N,1,0
98836743,2020-01-01,R,3.625,207000.0,240,2019-12-01,2020-02-01,66,66,2,25.0,806.0,797.0,N,R,SF,1,P,OH,17140,0.0,0.0,N,N,A,N,1,0
98836744,2020-01-01,R,3.625,215000.0,240,2020-01-01,2020-03-01,73,73,2,42.0,745.0,785.0,N,R,SF,1,P,OH,18140,0.0,0.0,N,N,A,N,1,0
98836781,2020-01-01,R,3.75,286000.0,360,2020-01-01,2020-03-01,79,79,2,39.0,789.0,794.0,N,R,SF,1,P,CO,17820,0.0,0.0,N,N,W,N,0,0
98836789,2020-01-01,R,3.99,222000.0,360,2019-12-01,2020-02-01,78,78,2,43.0,681.0,769.0,N,R,SF,1,P,MI,19820,0.0,0.0,Y,N,W,N,0,0
98836796,2020-01-01,B,3.999,243000.0,360,2020-01-01,2020-03-01,79,79,1,43.0,769.0,0.0,N,C,SF,1,P,CO,19740,0.0,0.0,N,N,A,N,0,0
98836799,2020-01-01,C,3.875,250000.0,360,2019-12-01,2020-02-01,74,74,1,37.0,768.0,0.0,N,P,SF,1,P,MI,24340,0.0,0.0,N,N,A,N,1,0
98836805,2020-01-01,R,3.25,210000.0,120,2020-01-01,2020-03-01,63,63,2,31.0,755.0,755.0,N,C,SF,1,P,OH,18140,0.0,0.0,N,N,A,N,0,1
98836817,2020-01-01,R,3.375,418000.0,360,2019-11-01,2020-01-01,95,95,2,38.0,796.0,767.0,N,P,SF,1,P,MI,19820,30.0,1.0,N,N,A,N,1,0
98836823,2020-01-01,R,3.99,359000.0,360,2019-12-01,2020-02-01,97,97,1,37.0,772.0,0.0,Y,P,CO,1,P,MI,19820,35.0,1.0,N,N,A,N,0,0
98836828,2020-01-01,R,4.625,226000.0,360,2020-01-01,2020-03-01,84,84,1,43.0,676.0,0.0,N,R,CO,1,P,MI,28020,12.0,1.0,N,N,A,N,0,0
98836833,2020-01-01,C,4.0,255000.0,360,2020-01-01,2020-03-01,85,85,1,30.0,703.0,0.0,N,P,SF,1,P,MI,19820,12.0,1.0,N,N,A,N,0,0
98836849,2020-01-01,R,4.25,141000.0,360,2020-01-01,2020-03-01,95,95,2,43.0,697.0,764.0,N,P,SF,1,P,MI,12980,30.0,1.0,N,N,A,N,0,0
98836862,2020-01-01,C,4.875,200000.0,360,2019-12-01,2020-02-01,97,97,2,36.0,739.0,692.0,Y,P,PU,1,P,OH,18140,35.0,1.0,N,N,A,N,1,0
98836875,2020-01-01,R,4.375,260000.0,360,2019-12-01,2020-02-01,69,69,2,39.0,704.0,718.0,N,C,SF,1,P,CO,19740,0.0,0.0,N,N,W,N,0,0
98836883,2020-01-01,R,3.875,325000.0,360,2019-12-01,2020-02-01,78,78,2,17.0,801.0,782.0,N,C,PU,1,P,VA,47900,0.0,0.0,N,N,A,N,1,0
98836888,2020-01-01,C,4.0,360000.0,360,2019-11-01,2020-01-01,80,80,2,25.0,776.0,754.0,N,C,PU,1,P,CO,24540,0.0,0.0,N,N,A,N,0,0
98836895,2020-01-01,R,3.875,107000.0,360,2019-12-01,2020-02-01,70,70,1,46.0,692.0,0.0,N,R,CO,1,P,MI,19820,0.0,0.0,N,N,W,N,0,0
98836905,2020-01-01,B,3.75,484000.0,360,2019-12-01,2020-03-01,84,84,1,40.0,764.0,0.0,N,R,SF,1,P,CO,19740,12.0,3.0,N,N,W,N,1,0
98836914,2020-01-01,B,3.5,339000.0,360,2019-12-01,2020-02-01,82,82,1,38.0,810.0,0.0,N,R,SF,1,P,MI,29620,12.0,2.0,N,N,W,N,1,0
98836924,2020-01-01,R,3.875,216000.0,324,2019-12-01,2020-02-01,87,87,2,24.0,784.0,758.0,N,R,SF,1,P,MI,19820,25.0,2.0,N,N,W,N,1,0
98836930,2020-01-01,B,4.0,252000.0,360,2019-12-01,2020-02-01,97,97,1,33.0,805.0,0.0,Y,P,CO,1,P,GA,12060,35.0,1.0,N,N,A,N,1,0
98836937,2020-01-01,R,3.75,228000.0,360,2019-11-01,2020-01-01,95,95,2,36.0,777.0,802.0,Y,P,MH,1,P,VA,0,30.0,1.0,N,N,A,N,0,0
98836944,2020-01-01,R,4.625,160000.0,360,2019-12-01,2020-02-01,97,97,1,19.0,764.0,0.0,Y,P,SF,1,P,MI,19820,35.0,1.0,N,N,A,N,1,0
98836947,2020-01-01,R,3.875,221000.0,360,2019-12-01,2020-02-01,95,95,1,35.0,788.0,0.0,N,P,SF,1,P,VA,40060,30.0,1.0,N,N,A,N,1,0
98836951,2020-01-01,B,4.183,109000.0,360,2019-12-01,2020-02-01,95,95,1,40.0,665.0,0.0,Y,P,CO,1,P,OH,18140,25.0,1.0,Y,N,A,N,0,0
98836969,2020-01-01,C,3.75,319000.0,360,2019-12-01,2020-02-01,85,85,1,31.0,752.0,0.0,N,R,PU,1,P,VA,40060,12.0,1.0,N,N,A,N,1,0
98836977,2020-01-01,R,3.875,126000.0,360,2020-01-01,2020-03-01,80,80,1,25.0,794.0,0.0,Y,P,MH,1,P,MI,24340,0.0,0.0,N,N,A,N,0,0
98836978,2020-01-01,C,3.5,355000.0,360,2019-12-01,2020-02-01,66,66,2,32.0,766.0,794.0,N,R,PU,1,P,CO,19740,0.0,0.0,N,N,W,N,1,0
98836987,2020-01-01,R,4.625,221000.0,360,2019-12-01,2020-02-01,75,75,1,25.0,644.0,0.0,N,C,SF,1,P,MI,28020,0.0,0.0,N,N,A,N,0,0
98836994,2020-01-01,C,4.5,256000.0,360,2019-12-01,2020-02-01,78,78,2,47.0,721.0,730.0,N,C,SF,1,P,CO,19740,0.0,0.0,N,N,A,N,1,0
