,PREPAID_FLAG
8229,1
67840,0
78357,0
27174,1
87006,0
55513,0
71633,0
67381,0
35398,1
31942,0
34589,0
33133,1
85360,1
74501,1
49622,1
28053,0
71727,0
52482,0
100164,1
74747,1
30080,1
21437,1
61599,0
61700,1
43268,1
73931,1
30259,0
79761,1
83241,1
62174,1
90701,0
33372,0
95086,0
35825,1
84621,0
103423,1
70913,1
67367,0
51062,0
44864,1
22614,1
27253,1
60580,1
62412,1
13152,0
98059,0
85808,0
54725,0
5832,0
17694,0
14418,0
19290,1
104228,0
65328,1
43096,1
39348,0
89558,0
54532,0
50842,1
62063,1
43639,1
23489,0
103323,1
32302,1
22688,1
13694,1
53261,1
60601,0
33643,1
67818,0
81630,0
23677,1
20572,0
43376,0
98926,0
6775,1
1964,0
42941,0
96282,1
11173,1
67353,1
65312,1
70126,1
87910,1
52399,0
25395,1
101070,0
18301,0
31261,1
76053,1
11156,1
12048,1
94400,0
82801,1
21745,0
40588,1
33216,0
43188,1
87971,1
69086,1
73888,1
15352,1
2053,1
79896,0
54188,1
31165,0
93709,0
13301,1
56660,0
68136,1
29892,1
28311,1
89689,1
16331,1
73588,0
99146,0
50607,1
77024,1
81374,0
51663,1
75997,1
90575,0
85753,1
27935,0
53374,0
15226,1
56811,0
97107,1
4672,0
2844,1
12193,1
55646,0
20779,1
48981,0
99908,1
101895,1
68730,0
96257,1
9174,0
52980,0
5213,1
40416,1
36281,1
102119,0
65946,1
88101,0
79409,0
45783,0
52039,1
33219,0
27220,0
104072,0
50909,0
71656,1
82707,1
9677,1
33815,0
42282,0
60956,1
98293,0
60608,1
56979,1
45430,1
38317,0
82146,0
92647,0
67060,0
54980,0
38191,0
7656,1
21097,0
28934,0
40471,1
95614,0
76879,1
90188,0
47313,0
60820,1
13986,0
28127,1
29781,0
103519,0
48147,0
78040,1
31230,0
33057,0
96624,0
74288,1
51153,0
33813,1
39398,0
7140,1
87498,0
50620,0
88313,0
45108,1
19379,0
37279,0
80209,1
41012,1
33857,1
79878,0
61364,1
23189,1
36861,0
35240,0
55843,0
56285,0
68690,1
19884,0
50133,1
9026,1
50368,0
65341,1
14270,1
98530,0
92111,1
42285,1
34245,1
34655,1
89846,1
8632,1
64441,1
760,0
20014,0
17511,1
17331,0
40109,0
36121,1
36771,0
90234,0
14412,0
43868,0
43705,0
48485,0
3133,0
19967,1
34320,1
78000,1
78733,0
58848,1
36187,1
94881,1
5791,0
79503,1
85624,1
12657,0
74200,1
25988,1
72769,1
52093,0
87194,0
5769,0
11915,1
32133,0
11168,0
44473,0
79711,1
68355,1
60987,0
100818,0
35221,0
1694,0
22996,0
77068,0
80158,1
54066,0
15232,0
6110,1
8637,1
71577,0
50042,1
11672,1
14521,0
32200,0
101406,1
15406,0
17113,1
58,1
31974,0
12746,1
82425,0
50650,0
58996,1
36764,1
2259,1
76880,0
50040,0
47526,0
51845,1
46476,1
22118,0
47788,1
85378,0
64134,1
56890,1
80045,0
96746,1
58299,0
46937,0
36719,1
99708,0
67024,0
56615,0
93338,1
24417,1
79832,1
59179,0
90768,0
96834,0
74040,0
86693,1
68936,0
79438,0
